囿	1100
譬	78
灚	1
圃	459
圄	318
灞	739
圆	839
圈	1332
圌	1000
灩	5882
火	366
灭	709
灯	796
灰	686
圗	975
灵	455
圜	2816
灶	1506
灸	555
土	259
灼	735
圣	670
灾	76
灿	443
在	7873
圩	1612
圪	4821
圫	4444
炀	1268
圭	564
地	1054
炅	262
炆	1463
圳	9
圴	4000
计	72
订	270
讣	284
炉	658
炊	962
认	45
讥	854
圹	246
讦	625
场	247
讧	75
圻	480
炎	391
讨	128
让	5462
讪	298
讫	1879
圾	29
炒	904
训	77
炔	1562
议	80
炕	2662
讯	129
炖	2394
记	77
炘	744
讲	1511
讳	108
炙	475
讴	158
址	130
讵	4375
炜	1006
坂	1735
讶	44
炝	7674
讷	716
许	265
讹	1053
论	146
均	2692
讼	262
讽	215
设	165
坊	464
访	96
坍	95
坎	895
坏	719
坐	1565
炫	593
坑	1193
炬	243
诀	413
炭	207
炮	682
证	235
诂	1428
炯	678
诃	1557
评	129
块	598
诅	198
炳	644
识	59
坚	86
诈	83
坛	137
坜	521
诉	58
炷	892
诊	65
坝	828
炸	263
诋	135
坞	290
诌	2307
坟	1701
点	1097
词	671
坠	321
坡	706
诏	1846
炼	187
炽	970
坤	1094
译	377
诒	2019
诓	3846
坦	176
坨	1528
试	129
坩	3200
诗	951
坪	734
诘	1411
诙	52
坭	1269
诚	287
烁	297
诛	799
诜	3548
烂	1274
坯	964
烃	615
话	1466
诞	89
诟	60
坳	2117
诠	65
诡	282
坵	3255
烈	100
询	30
诣	294
诤	2462
烊	398
坷	89
该	3370
详	39
诧	134
诨	947
坻	230
诩	707
诫	210
诬	624
语	325
烔	2678
误	177
诰	3894
诱	145
诲	1116
烘	804
诳	5161
烙	1159
说	5163
烛	801
诵	543
诶	7441
烜	461
垂	464
请	1137
垃	7
诸	284
垄	229
诹	1
垅	3185
烟	487
垆	5384
诺	311
读	812
诼	4117
诽	53
烤	698
课	620
诿	90
型	414
垌	2960
烦	497
烧	793
烨	1384
烩	2255
烫	1483
烬	1001
垒	872
垓	5319
谀	733
热	348
谁	5622
垕	5384
谂	7407
烯	490
调	126
谄	1379
谅	88
谆	437
垚	2431
垛	3809
谈	1153
烷	953
谊	160
谋	416
垟	1849
谌	1459
烹	245
谍	121
垠	1992
垡	197
谎	152
垢	641
谏	2774
烽	655
谐	67
垣	703
谑	448
谒	2046
谓	95
垦	230
谔	1875
谕	4666
谖	2631
垩	1818
谗	3777
谘	1538
垫	1093
谙	301
垭	1832
谚	758
谛	509
垮	1050
垯	5000
谜	592
谝	6190
垱	5294
谟	2805
垴	2173
谡	786
垵	2561
谢	397
谣	181
焉	2857
焊	847
谤	130
垸	1543
谥	4174
谦	1021
谧	252
谨	137
谩	19
焐	8000
谪	3203
焑	1
谬	778
焓	1
谭	950
谯	2123
焕	784
谰	3157
焖	4288
焗	4024
谱	496
焘	527
谲	776
谳	701
焙	1096
谴	48
焚	195
谵	697
焜	3669
谶	3760
埂	1570
谷	752
埃	164
埇	707
埈	2571
埋	913
埌	5681
焦	298
城	336
埏	1
埒	1538
焮	1
豁	500
埔	177
焯	1330
埕	4619
焰	424
埗	1040
焱	1485
埙	8545
豆	284
埚	5277
豇	106
豉	1714
然	95
豊	4615
埝	3823
豌	221
域	71
埠	612
埤	1100
豕	6956
埭	1740
豚	260
煅	468
象	101
豢	625
煊	2703
培	86
煌	272
基	64
煎	1018
埼	432
豪	308
豫	755
堀	2130
堂	601
煜	1521
煝	1
堃	1461
豸	1410
煞	1554
豹	666
豺	4459
堆	929
煡	3888
堇	7021
堉	3125
煤	448
堌	3076
煦	1541
堍	7586
照	280
堎	1486
煨	6038
煪	447
堑	978
煮	1577
貂	1290
堕	556
貅	1666
煲	2200
煳	2012
貉	4074
煸	2586
貌	90
堠	3333
煺	3333
貎	5384
堡	632
堣	2142
煽	183
堤	652
貔	1666
堪	185
貘	3442
堰	599
熄	154
堵	1190
熊	852
堺	842
熏	988
堽	5476
熔	938
熙	779
熜	2000
塂	555
塄	3000
塅	4666
熟	333
塆	7352
熠	435
塌	248
塍	1475
熨	1353
塑	175
熬	1074
塔	650
塘	757
熳	4166
塚	4074
熵	5714
塝	2500
塞	531
熹	2380
熺	1509
填	488
塬	3229
塭	1818
燃	110
塱	1594
塶	6785
燊	992
賨	1875
燎	745
塽	317
塾	836
賮	8000
燔	909
燕	882
墀	3000
燚	2131
墁	6842
境	78
墅	350
Ι	1111
墉	339
燥	354
燧	6666
墎	8823
Ο	1
墒	1068
贀	4230
墓	806
Τ	7954
贁	3636
燮	1194
贂	3241
Φ	3478
増	2727
Ω	929
墙	942
贇	4285
贉	1250
增	294
贌	1041
燹	2142
墟	596
贎	4736
α	6217
β	1250
墣	1
γ	5346
δ	4230
θ	3333
墨	551
墩	1206
μ	5129
爀	1470
ξ	6000
贝	306
贞	796
负	160
贠	2380
爆	220
贡	138
财	113
责	30
贤	1112
败	258
账	399
货	313
质	109
贩	126
贪	333
贫	87
贬	397
ω	3333
购	112
爔	1000
贮	660
贯	108
贰	1388
贱	1488
贲	516
贴	941
贵	887
壁	453
贶	1379
贷	163
贸	23
壅	3797
费	348
贺	746
贻	857
贼	1837
贽	3636
贾	703
贿	69
①	6221
②	8119
③	8276
④	7617
爪	1682
壑	1199
爬	1136
⑧	7307
赁	35
壕	2161
赂	52
赃	208
爱	1517
资	31
爲	7777
赅	250
赈	641
爵	547
赉	1803
父	108
赊	1496
爷	206
爸	197
赋	520
爹	964
赌	491
赍	4545
⑴	4883
爻	5652
赎	138
⑵	6052
赏	448
⑶	6666
赐	1191
爽	705
赑	1250
壤	122
爿	8076
赓	1313
赔	595
赕	3461
赖	650
赘	526
士	177
壬	2206
赚	2034
壮	379
赛	319
赜	2380
赝	107
声	330
赞	424
赟	873
壳	785
赠	405
赡	73
片	908
版	1256
赢	1201
壶	1736
赣	520
赤	475
赦	493
壹	1417
牌	377
赧	6153
牍	1840
赫	440
牒	2142
赭	4302
走	2185
赳	443
牙	238
А	7183
赴	1287
Б	3835
牛	691
赵	505
В	3435
赶	467
牝	4545
Г	1229
起	1305
Д	3472
处	684
Е	6666
牟	469
Ж	2857
牠	3783
З	746
牡	180
备	70
И	2258
牢	238
牤	2666
К	1920
Л	6500
М	2535
牦	86
Н	1067
复	107
牧	244
О	3076
П	298
夏	465
物	169
Р	2727
С	2360
Т	3432
У	7325
夔	1818
趁	2344
Х	4444
牯	1171
夕	453
Ц	5185
外	743
Ч	3015
趄	1752
Ш	3000
牲	44
超	4474
Щ	6200
夙	871
多	1992
牵	248
夜	323
越	487
趋	77
够	307
特	225
а	330
牺	6
б	1258
в	1319
г	676
д	227
牾	1
е	701
ж	7575
з	3750
趔	222
大	1142
и	1316
й	4603
天	594
к	1396
太	567
л	323
夫	362
м	887
н	545
夭	409
犀	116
о	446
央	19
犁	559
п	309
夯	227
犄	547
失	113
趟	1105
犇	1488
头	644
趣	147
р	289
犊	907
夷	479
с	576
夸	669
т	260
夹	1195
у	1327
犍	640
夺	192
ф	1111
х	5909
夼	1949
ц	449
ч	823
ш	4210
犒	557
ы	1986
ь	4444
ю	588
я	354
足	190
趴	560
趵	132
奂	455
奄	241
趸	467
犟	5242
趺	4000
奇	488
奈	271
奉	348
趾	983
趿	3055
奋	61
奎	1170
奏	266
契	142
犬	1134
奓	1470
奔	292
跂	1
犯	278
奕	698
犰	1
跃	303
奖	582
跄	303
套	1140
奘	238
跆	57
奚	864
状	213
犷	219
犸	1
跋	550
犹	405
跌	449
奠	80
跎	157
跏	1
犼	1250
奢	108
跑	1995
奥	95
跖	5571
奬	2727
奭	3529
跚	143
跛	1842
狂	465
距	568
狄	1652
跟	4283
女	1402
奴	1058
狈	215
跣	689
奶	353
跤	414
奸	213
她	8071
狍	1403
狎	3898
跨	507
狐	427
跪	778
好	2377
跫	1
跬	1702
狒	714
路	774
狗	1954
狙	116
跳	1126
妁	322
践	25
跶	869
如	1056
跷	533
妃	846
跸	1052
妄	450
狞	393
跹	133
跺	2631
狠	649
妆	435
跻	138
狡	441
妇	129
妈	222
妊	103
妍	820
狩	385
妒	537
独	149
妓	632
狭	210
狮	469
狰	45
妖	936
妗	7407
狱	151
踅	1428
狲	3043
狳	1
妙	471
妚	434
踉	273
狷	7241
踊	66
狸	514
妞	729
踌	47
狼	1499
踏	342
妣	2727
妤	887
妥	129
妨	27
妩	54
妪	1212
妫	1419
猁	625
妮	832
妯	821
踝	463
踞	704
妲	867
踟	1224
猇	1
踢	2479
妹	419
妺	6111
妻	189
猎	352
踩	1917
踪	86
妾	3296
踮	918
踯	714
猕	33
猖	133
踱	1578
猗	537
踵	236
猛	726
猜	831
猝	144
猞	625
踹	2716
踺	1538
姆	208
猡	1282
猢	3043
踽	1
姊	349
猥	44
始	49
猩	291
姐	306
猪	908
姑	189
猫	1149
姒	3428
猬	423
姓	309
蹁	1739
委	195
献	180
蹂	292
姗	499
蹄	1050
姘	3030
蹇	3785
猴	1112
姚	728
蹈	60
蹉	571
姜	1058
猷	1061
姝	985
蹊	69
蹋	654
姣	1816
蹑	783
猾	365
猿	2458
蹒	53
姥	123
蹓	1250
姨	364
姩	6000
蹙	4137
姬	1127
蹚	1880
姮	1028
蹟	2000
姴	7173
姸	1666
姹	751
蹦	1061
姻	46
蹩	512
獐	203
獒	202
蹬	2799
姿	242
蹭	2831
蹰	666
獗	147
蹲	719
蹴	256
威	288
蹶	390
娃	631
娄	1160
娅	973
獠	287
娆	409
娇	747
蹼	2318
娈	727
娉	1851
蹿	1371
娌	1410
娑	742
獬	5000
獭	872
娓	192
躁	246
躅	1875
娘	453
獴	5555
躇	77
娜	619
娟	989
娠	71
躏	425
娣	3133
獾	5530
娥	1090
娩	31
娭	353
娱	56
玄	621
娲	122
娴	590
率	608
娶	2421
玉	636
王	642
玎	3720
娼	328
玑	1484
身	213
玒	2470
躬	554
玕	6000
躯	307
玖	1979
玘	1111
躲	721
婀	125
玛	582
婄	5384
玟	811
躺	418
婆	164
玢	2547
婉	491
婊	675
玥	1343
玦	2031
婍	1538
玩	1213
玫	400
玮	1093
婕	1203
环	171
现	99
玲	1095
玳	2380
婚	118
玷	311
婞	1666
玹	3888
玺	1578
軎	1
玻	74
婢	2857
婧	1577
婪	155
珀	573
珂	2137
軞	2307
珅	550
軠	1428
婴	94
珈	1777
婵	3122
珉	1077
婶	656
軤	4545
婷	991
珊	699
軦	4150
婺	465
珍	552
珏	1120
☉	2241
珐	148
珑	820
婿	293
珗	1
軳	6000
珙	351
軶	5263
珞	301
珠	382
珣	1923
珧	4482
珩	1334
媐	819
珪	7500
媒	19
班	575
輁	2222
輂	5619
媖	2500
輄	2380
媗	429
珲	540
媚	903
珵	4545
媛	871
珶	1
媞	95
珺	613
珽	4666
輖	5862
輙	5806
媭	2307
球	390
琅	742
媲	71
媳	81
理	141
琇	5555
輣	2222
琉	271
媷	251
琊	616
